Title,Date_of_Release,Genre,Plot_summary,ImDBRating,Votes,Age_of_content,Crew_dir,Cast_stars,Plot_Keywords
3 Idiots,2009,"Comedy, Drama            ","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",8.4,"366,038",12,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi","['two', 'friends', 'searching', 'long', 'lost', 'companion.', 'revisit', 'college', 'days', 'recall', 'memories', 'friend', 'inspired', 'think', 'differently,', 'even', 'rest', 'world', 'called', '""idiots"".']"
Cruel Intentions,1999,"Drama, Romance            ",Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.,6.8,"184,749",22,Roger Kumble,"Sarah Michelle Gellar, Ryan Phillippe, Reese Witherspoon, Selma Blair","['two', 'vicious', 'step-siblings', 'elite', 'manhattan', 'prep', 'school', 'make', 'wager:', 'deflower', 'new', ""headmaster's"", 'daughter', 'start', 'term.']"
Taare Zameen Par,2007,"Drama, Family            ","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",8.4,"179,838",14,"s:Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma","['eight-year-old', 'boy', 'thought', 'lazy', 'trouble-maker,', 'new', 'art', 'teacher', 'patience', 'compassion', 'discover', 'real', 'problem', 'behind', 'struggles', 'school.']"
PK,2014,"Comedy, Drama, Musical            ",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,8.1,"171,776",7,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani","['alien', 'earth', 'loses', 'device', 'use', 'communicate', 'spaceship.', 'innocent', 'nature', 'child-like', 'questions', 'force', 'country', 'evaluate', 'impact', 'religion', 'people.']"
Radhe,2021,"Action, Crime, Thriller            ","After taking the dreaded gangster Gani Bhai, ACP Rajveer Shikawat aka Radhe goes on a manhunt to find the wealthiest man of the town secretly running a crime syndicate.",1.8,"171,349",0,Prabhu Deva,"Salman Khan, Disha Patani, Randeep Hooda, Jackie Shroff","['taking', 'dreaded', 'gangster', 'gani', 'bhai,', 'acp', 'rajveer', 'shikawat', 'aka', 'radhe', 'goes', 'manhunt', 'find', 'wealthiest', 'man', 'town', 'secretly', 'running', 'crime', 'syndicate.']"
Dangal,2016,"Action, Biography, Drama            ",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,8.4,"170,210",5,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra","['former', 'wrestler', 'mahavir', 'singh', 'phogat', 'two', 'wrestler', 'daughters', 'struggle', 'towards', 'glory', 'commonwealth', 'games', 'face', 'societal', 'oppression.']"
Dil Bechara,2020,"Comedy, Drama, Romance            ","The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",8.1,"123,587",1,Mukesh Chhabra,"Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee","['emotional', 'journey', 'two', 'hopelessly', 'love', 'youngsters,', 'young', 'girl,', 'kizie,', 'suffering', 'cancer,', 'boy,', 'manny,', 'meets', 'support', 'group.']"
Rang De Basanti,2006,"Comedy, Crime, Drama            ","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",8.1,"116,246",15,Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi","['story', 'six', 'young', 'indians', 'assist', 'english', 'woman', 'film', 'documentary', 'freedom', 'fighters', 'past,', 'events', 'lead', 'relive', 'long-forgotten', 'saga', 'freedom.']"
Lagaan: Once Upon a Time in India,2001,"Drama, Musical, Sport            ",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,8.1,"109,082",20,Ashutosh Gowariker,"Aamir Khan, Raghuvir Yadav, Gracy Singh, Rachel Shelley","['people', 'small', 'village', 'victorian', 'india', 'stake', 'future', 'game', 'cricket', 'ruthless', 'british', 'rulers.']"
My Name Is Khan,2010,Drama            ,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,8.0,"102,451",11,Karan Johar,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie A. Keane","['indian', 'muslim', 'man', ""asperger's"", 'syndrome', 'takes', 'challenge', 'speak', 'president', 'united', 'states', 'seriously', 'embarks', 'cross-country', 'journey.']"
